Ano_Mês;meta para a inflação;IPCA ocorrido;limite máximo;Focus mais recente;limite mínimo
2011,92;4.5;6.5;6.5;;2.5
2012,00;4.5;6.22;6.5;;2.5
2012,08;4.5;5.85;6.5;;2.5
2012,17;4.5;5.24;6.5;;2.5
2012,25;4.5;5.1;6.5;;2.5
2012,33;4.5;4.99;6.5;;2.5
2012,42;4.5;4.92;6.5;;2.5
2012,50;4.5;5.2;6.5;;2.5
2012,58;4.5;5.24;6.5;;2.5
2012,67;4.5;5.28;6.5;;2.5
2012,75;4.5;5.45;6.5;;2.5
2012,83;4.5;5.53;6.5;;2.5
2012,92;4.5;5.84;6.5;;2.5
2013,00;4.5;6.15;6.5;;2.5
2013,08;4.5;6.31;6.5;;2.5
2013,17;4.5;6.59;6.5;;2.5
2013,25;4.5;6.49;6.5;;2.5
2013,33;4.5;6.5;6.5;;2.5
2013,42;4.5;6.7;6.5;;2.5
2013,50;4.5;6.27;6.5;;2.5
2013,58;4.5;6.09;6.5;;2.5
2013,67;4.5;5.86;6.5;;2.5
2013,75;4.5;5.84;6.5;;2.5
2013,83;4.5;5.77;6.5;;2.5
2013,92;4.5;5.91;6.5;;2.5
2014,00;4.5;5.59;6.5;;2.5
2014,08;4.5;5.68;6.5;;2.5
2014,17;4.5;6.15;6.5;;2.5
2014,25;4.5;6.28;6.5;;2.5
2014,33;4.5;6.37;6.5;;2.5
2014,42;4.5;6.52;6.5;;2.5
2014,50;4.5;6.5;6.5;;2.5
2014,58;4.5;6.51;6.5;;2.5
2014,67;4.5;6.75;6.5;;2.5
2014,75;4.5;6.59;6.5;;2.5
2014,83;4.5;6.56;6.5;;2.5
2014,92;4.5;6.41;6.5;;2.5
2015,00;4.5;7.14;6.5;;2.5
2015,08;4.5;7.7;6.5;;2.5
2015,17;4.5;8.13;6.5;;2.5
2015,25;4.5;8.17;6.5;;2.5
2015,33;4.5;8.47;6.5;;2.5
2015,42;4.5;8.89;6.5;;2.5
2015,50;4.5;9.56;6.5;;2.5
2015,58;4.5;9.53;6.5;;2.5
2015,67;4.5;9.49;6.5;;2.5
2015,75;4.5;9.93;6.5;;2.5
2015,83;4.5;10.48;6.5;;2.5
2015,92;4.5;10.67;6.5;;2.5
2016,00;4.5;10.71;6.5;;2.5
2016,08;4.5;10.36;6.5;;2.5
2016,17;4.5;9.39;6.5;;2.5
2016,25;4.5;9.28;6.5;;2.5
2016,33;4.5;9.32;6.5;;2.5
2016,42;4.5;8.84;6.5;;2.5
2016,50;4.5;8.74;6.5;;2.5
2016,58;4.5;8.97;6.5;;2.5
2016,67;4.5;8.48;6.5;;2.5
2016,75;4.5;7.87;6.5;;2.5
2016,83;4.5;6.99;6.5;;2.5
2016,92;4.5;6.29;6.5;;2.5
2017,00;4.5;5.35;6;;3
2017,08;4.5;4.76;6;;3
2017,17;4.5;4.57;6;;3
2017,25;4.5;4.08;6;;3
2017,33;4.5;3.6;6;;3
2017,42;4.5;3;6;;3
2017,50;4.5;2.71;6;;3
2017,58;4.5;2.46;6;;3
2017,67;4.5;2.54;6;;3
2017,75;4.5;2.7;6;;3
2017,83;4.5;2.8;6;;3
2017,92;4.5;2.95;6;;3
2018,00;4.5;2.86;6;;3
2018,08;4.5;2.84;6;;3
2018,17;4.5;2.68;6;;3
2018,25;4.5;2.76;6;;3
2018,33;4.5;2.86;6;;3
2018,42;4.5;4.39;6;;3
2018,50;4.5;4.48;6;;3
2018,58;4.5;4.19;6;;3
2018,67;4.5;4.53;6;;3
2018,75;4.5;4.56;6;;3
2018,83;4.5;4.05;6;;3
2018,92;4.5;3.75;6;;3
2019,00;4.25;3.78;5.75;;2.75
2019,08;4.25;3.89;5.75;;2.75
2019,17;4.25;4.58;5.75;;2.75
2019,25;4.25;4.94;5.75;;2.75
2019,33;4.25;4.66;5.75;;2.75
2019,42;4.25;3.37;5.75;;2.75
2019,50;4.25;3.22;5.75;;2.75
2019,58;4.25;3.43;5.75;;2.75
2019,67;4.25;2.89;5.75;;2.75
2019,75;4.25;2.54;5.75;;2.75
2019,83;4.25;3.27;5.75;;2.75
2019,92;4.25;4.31;5.75;;2.75
2020,00;4;4.19;5.5;;2.5
2020,08;4;4.01;5.5;;2.5
2020,17;4;3.3;5.5;;2.5
2020,25;4;2.4;5.5;;2.5
2020,33;4;1.88;5.5;;2.5
2020,42;4;2.13;5.5;;2.5
2020,50;4;2.31;5.5;;2.5
2020,58;4;2.44;5.5;;2.5
2020,67;4;3.14;5.5;;2.5
2020,75;4;3.92;5.5;;2.5
2020,83;4;4.31;5.5;;2.5
2020,92;4;4.52;5.5;;2.5
2021,00;3.75;4.56;5.25;;2.25
2021,08;3.75;5.2;5.25;;2.25
2021,17;3.75;6.1;5.25;;2.25
2021,25;3.75;6.76;5.25;;2.25
2021,33;3.75;8.06;5.25;;2.25
2021,42;3.75;8.35;5.25;;2.25
2021,50;3.75;8.99;5.25;;2.25
2021,58;3.75;9.68;5.25;;2.25
2021,67;3.75;10.25;5.25;;2.25
2021,75;3.75;10.67;5.25;;2.25
2021,83;3.75;10.74;5.25;10.74;2.25
2021,92;3.75;;5.25;10.05;2.25
2022,00;3.5;;5;10.37;2
2022,08;3.5;;5;10.19;2
2022,17;3.5;;5;9.66;2
2022,25;3.5;;5;9.84;2
2022,33;3.5;;5;9.04;2
2022,42;3.5;;5;8.79;2
2022,50;3.5;;5;8.2;2
2022,58;3.5;;5;7.57;2
2022,67;3.5;;5;6.71;2
2022,75;3.5;;5;5.82;2
2022,83;3.5;;5;5.24;2
2022,92;3.5;;5;5.1;2
2023,00;3.25;;4.75;4.95;1.75
2023,08;3.25;;4.75;4.64;1.75
2023,17;3.25;;4.75;4.48;1.75
2023,25;3.25;;4.75;4.3;1.75
2023,33;3.25;;4.75;4.46;1.75
2023,42;3.25;;4.75;4.35;1.75
2023,50;3.25;;4.75;4.13;1.75
2023,58;3.25;;4.75;4;1.75
2023,67;3.25;;4.75;3.86;1.75
2023,75;3.25;;4.75;3.75;1.75
2023,83;3.25;;4.75;3.65;1.75
2023,92;3.25;;4.75;3.45;1.75
2024,00;3;;4.5;;1.5
2024,08;3;;4.5;;1.5
2024,17;3;;4.5;;1.5
2024,25;3;;4.5;;1.5
2024,33;3;;4.5;;1.5
2024,42;3;;4.5;;1.5
2024,50;3;;4.5;;1.5
2024,58;3;;4.5;;1.5
2024,67;3;;4.5;;1.5
2024,75;3;;4.5;;1.5
2024,83;3;;4.5;;1.5
2024,92;3;;4.5;;1.5
